drone_img,drone_path,drone_lat,drone_lon,drone_x_m,drone_y_m,gt_patch_id,gt_patch_path,gt_patch_lon,gt_patch_lat
02_0601.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_0.jpg,29.78975881,116.0509971,1666.81,7137.51,254,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000254.jpg,116.05207517,29.79008369
02_0602.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_1.jpg,29.79047501,116.0509971,1666.81,7216.94,254,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000254.jpg,116.05207517,29.79008369
02_0603.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_2.jpg,29.79118548,116.0509971,1666.81,7295.73,254,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000254.jpg,116.05207517,29.79008369
02_0604.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_3.jpg,29.79189594,116.0510086,1667.92,7374.53,255,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000255.jpg,116.05207562,29.79251943
02_0605.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_4.jpg,29.79261214,116.0510086,1667.92,7453.96,255,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000255.jpg,116.05207562,29.79251943
02_0606.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_5.jpg,29.79332261,116.0510086,1667.92,7532.75,255,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000255.jpg,116.05207562,29.79251943
02_0607.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_6.jpg,29.79403308,116.0509971,1666.81,7611.55,256,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000256.jpg,116.05207606,29.79495518
02_0608.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_7.jpg,29.79474927,116.0509971,1666.81,7690.98,256,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000256.jpg,116.05207606,29.79495518
02_0609.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_8.jpg,29.79545974,116.0509742,1664.6,7769.77,256,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000256.jpg,116.05207606,29.79495518
02_0610.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_9.jpg,29.79617021,116.0509742,1664.6,7848.57,257,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000257.jpg,116.0520765,29.79739093
02_0611.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_10.jpg,29.79688641,116.0509971,1666.81,7928.0,257,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000257.jpg,116.0520765,29.79739093
02_0612.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_11.jpg,29.79759687,116.0509971,1666.81,8006.79,257,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000257.jpg,116.0520765,29.79739093
02_0613.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_12.jpg,29.79831307,116.0509971,1666.81,8086.22,257,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000257.jpg,116.0520765,29.79739093
02_0614.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_13.jpg,29.79902354,116.0509971,1666.81,8165.02,258,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000258.jpg,116.05207695,29.79982667
02_0615.JPG,/usr1/home/s125mdg43_07/remote/rebuild_UAV/test/query_drone/drone_13_14.jpg,29.79973401,116.0510086,1667.92,8243.81,258,/usr1/home/s125mdg43_07/remote/stage2dataset/gallery/gallery_patch_000258.jpg,116.05207695,29.79982667
